name,path,caption
DM_V1_093,/art/The_Drawing_Machine/Version_1/093.png,"The Drawing Machine, Version 1 , 093, ATH, 2024."
DM_V1_094,/art/The_Drawing_Machine/Version_1/094.png,"The Drawing Machine, Version 1 , 094, ATH, 2024."
DM_V1_095,/art/The_Drawing_Machine/Version_1/095.png,"The Drawing Machine, Version 1 , 095, ATH, 2024."
DM_V1_096,/art/The_Drawing_Machine/Version_1/096.png,"The Drawing Machine, Version 1 , 096, ATH, 2024."
DM_V1_097,/art/The_Drawing_Machine/Version_1/097.png,"The Drawing Machine, Version 1 , 097, ATH, 2024."
DM_V1_098,/art/The_Drawing_Machine/Version_1/098.png,"The Drawing Machine, Version 1 , 098, ATH, 2024."
DM_V1_099,/art/The_Drawing_Machine/Version_1/099.png,"The Drawing Machine, Version 1 , 099, ATH, 2024."
DM_V1_100,/art/The_Drawing_Machine/Version_1/100.png,"The Drawing Machine, Version 1 , 100, ATH, 2024."
DM_V1_101,/art/The_Drawing_Machine/Version_1/101.png,"The Drawing Machine, Version 1 , 101, ATH, 2024."
DM_V1_102,/art/The_Drawing_Machine/Version_1/102.png,"The Drawing Machine, Version 1 , 102, ATH, 2024."
DM_V1_103,/art/The_Drawing_Machine/Version_1/103.png,"The Drawing Machine, Version 1 , 103, ATH, 2024."
DM_V1_104,/art/The_Drawing_Machine/Version_1/104.png,"The Drawing Machine, Version 1 , 104, ATH, 2024."
DM_V1_105,/art/The_Drawing_Machine/Version_1/105.png,"The Drawing Machine, Version 1 , 105, ATH, 2024."
DM_V1_106,/art/The_Drawing_Machine/Version_1/106.png,"The Drawing Machine, Version 1 , 106, ATH, 2024."
DM_V1_107,/art/The_Drawing_Machine/Version_1/107.png,"The Drawing Machine, Version 1 , 107, ATH, 2024."
DM_V1_108,/art/The_Drawing_Machine/Version_1/108.png,"The Drawing Machine, Version 1 , 108, ATH, 2024."
DM_V1_109,/art/The_Drawing_Machine/Version_1/109.png,"The Drawing Machine, Version 1 , 109, ATH, 2024."
DM_V1_110,/art/The_Drawing_Machine/Version_1/110.png,"The Drawing Machine, Version 1 , 110, ATH, 2024."
DM_V1_111,/art/The_Drawing_Machine/Version_1/111.png,"The Drawing Machine, Version 1 , 111, ATH, 2024."
DM_V1_112,/art/The_Drawing_Machine/Version_1/112.png,"The Drawing Machine, Version 1 , 112, ATH, 2024."
DM_V1_113,/art/The_Drawing_Machine/Version_1/113.png,"The Drawing Machine, Version 1 , 113, ATH, 2024."
DM_V1_114,/art/The_Drawing_Machine/Version_1/114.png,"The Drawing Machine, Version 1 , 114, ATH, 2024."
DM_V1_115,/art/The_Drawing_Machine/Version_1/115.png,"The Drawing Machine, Version 1 , 115, ATH, 2024."
DM_V1_116,/art/The_Drawing_Machine/Version_1/116.png,"The Drawing Machine, Version 1 , 116, ATH, 2024."
DM_V1_117,/art/The_Drawing_Machine/Version_1/117.png,"The Drawing Machine, Version 1 , 117, ATH, 2024."
DM_V1_118,/art/The_Drawing_Machine/Version_1/118.png,"The Drawing Machine, Version 1 , 118, ATH, 2024."
DM_V1_119,/art/The_Drawing_Machine/Version_1/119.png,"The Drawing Machine, Version 1 , 119, ATH, 2024."
DM_V1_120,/art/The_Drawing_Machine/Version_1/120.png,"The Drawing Machine, Version 1 , 120, ATH, 2024."
